sheet,collection,sku_raw,sku_normalized,title,retail_solid,retail_black_gloss_bi,retail_ldsp,finish_prices,catalog_verdict,confidence,catalog_sku,catalog_handle,catalog_title,note
ОЛИВЕР - ЧЕРНЫЙ,Oliver,44-1,OL-44-1,Консоль,45900.0,52785.0,42800.0,,MATCH_EXACT,high,OL-44-1,ol-44-1,Консоль,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,44-2,OL-44-2,Консоль с полками,70950.0,81592.5,66900.0,,MATCH_EXACT,high,OL-44-2,ol-44-2,Консоль с полками,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,56-1,OL-56-1,Кресло,58900.0,67735.0,,,MATCH_EXACT,high,OL-56-1,ol-56-1,Кресло,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,85-1,OL-85-1,Кроватка для новорожденного (60*120),72700.0,83605.0,,,MATCH_EXACT,high,OL-85-1,ol-85-1,Кроватка для новорожденного (60 × 120),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,85-2,OL-85-2,Кроватка приставная + матрас,33900.0,38985.0,,,MATCH_EXACT,high,OL-85-2,ol-85-2,Кроватка приставная + матрас,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,95-1,OL-95-1,Кровать - трансформер (80*150) с рисунком,118000.0,135700.0,,,MATCH_EXACT,high,OL-95-1,ol-95-1,Кровать-трансформер (80×150) с рисунком,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,95-3,OL-95-3,Кровать - трансформер (80*150) с тканью,118700.0,136505.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,14-1,OL-14-1,Кровать 1-сп. (90*190),72900.0,83835.0,,,MATCH_EXACT,high,OL-14-1,ol-14-1,Кровать 1-сп. (90×190),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,14-2,OL-14-2,Кровать 1-сп. (90*190) без изножья,69900.0,80385.0,,,MATCH_EXACT,high,OL-14-2,ol-14-2,Кровать 1-сп. (90×190) без изножья,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,14-3,OL-14-3,Кровать  1-сп. (90*190) с под механиз SINGLE,89900.0,103385.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,15-1,OL-15-1,"Кровать 1,5-сп. (120*190)",98900.0,113735.0,,,MATCH_EXACT,high,OL-15-1,ol-15-1,"Кровать 1,5-сп. (120×190)",Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,15-2,OL-15-2,"Кровать 1,5-сп. (120*190) без изножья",93600.0,107640.0,,,MATCH_EXACT,high,OL-15-2,ol-15-2,"Кровать 1,5-сп. (120×190) без изножья",Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,15-3,OL-15-3,"Кровать 1,5-сп. (120*190) с подъемн.мех-змом",126900.0,145935.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,16-1,OL-16-1,"Кровать 1,5-сп. (140*190)",113400.0,130410.0,,,MATCH_EXACT,high,OL-16-1,ol-16-1,"Кровать 1,5-сп. (140×190)",Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,16-2,OL-16-2,"Кровать 1,5-сп. (140*190) без изножья",109200.0,125580.0,,,MATCH_EXACT,high,OL-16-2,ol-16-2,"Кровать 1,5-сп. (140×190) без изножья",Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,16-3,OL-16-3,"Кровать 1,5-сп. (140*190) с подъемн.мех",140000.0,161000.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,17-1,OL-17-1,Кровать 2-сп. (160*200),134900.0,155135.0,,,MATCH_EXACT,high,OL-17-1,ol-17-1,Кровать 2-сп. (160×200),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,17-2,OL-17-2,Кровать 2-сп. (160*200) без изножья,124800.0,143520.0,,,MATCH_EXACT,high,OL-17-2,ol-17-2,Кровать 2-сп. (160×200) без изножья,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,17-3,OL-17-3,Кровать 2-сп. (160*200) с подъемн.мех-змом,160000.0,184000.0,,,MATCH_EXACT,high,OL-17-3,ol-17-3,Кровать 2-сп. (160×200) с подъёмным механизмом,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,18-1,OL-18-1,Кровать 2-сп. (180*200),149900.0,172385.0,,,MATCH_EXACT,high,OL-18-1,ol-18-1,Кровать 2-сп. (180×200),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,18-2,OL-18-2,Кровать 2-сп. (180*200) без изножья,140400.0,161460.0,,,MATCH_EXACT,high,OL-18-2,ol-18-2,Кровать 2-сп. (180×200) без изножья,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,69-1,OL-69-1,Полка книжная 1-ярусная,14900.0,17135.0,12400.0,,MATCH_EXACT,high,OL-69-1,ol-69-1,Полка книжная 1-ярусная,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,69-2,OL-69-2,Полка книжная 2-ярусная,18000.0,20700.0,15500.0,,MATCH_EXACT,high,OL-69-2,ol-69-2,Полка книжная 2-ярусная,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,69-3,OL-69-3,Полка книжная 3-ярусная,22900.0,26335.0,19400.0,,MATCH_EXACT,high,OL-69-3,ol-69-3,Полка книжная 3-ярусная,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,69-4,OL-69-4,Полка книжная угловая,13900.0,15985.0,11700.0,,MATCH_EXACT,high,OL-69-4,ol-69-4,Полка книжная угловая,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,62-1,OL-62-1,Стеллаж для книг,103900.0,119485.0,96800.0,,MATCH_EXACT,high,OL-62-1,ol-62-1,Стеллаж для книг,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,62-2,OL-62-2,Стеллаж широкий,72900.0,83835.0,59300.0,,MATCH_EXACT,high,OL-62-2,ol-62-2,Стеллаж широкий,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,21-1,OL-21-1,Стол обеденный раздвижной,212000.0,243800.0,195000.0,,MATCH_EXACT,high,OL-21-1,ol-21-1,Стол обеденный раздвижной,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,65-1,OL-65-1,Стол письменный 1-тумб. 0П,89900.0,103385.0,65300.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,65-2,OL-65-2,Стол письменный 1-тумб. П0,89900.0,103385.0,65300.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,66-1,OL-66-1,Стол письменный 2-тумб. ПП,131900.0,151685.0,105300.0,,MATCH_EXACT,high,OL-66-1,ol-66-1,Стол письменный двухтумбовый Оливер (полки с обеих сторон),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,66-4,OL-66-4,Стол кабинетный письменный 2-тумб. ПП,152600.0,175490.0,108000.0,,MATCH_EXACT,high,OL-66-4,ol-66-4,Стол кабинетный письменный двухтумбовый Оливер (полки с обеих сторон),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,67-1,OL-67-1,Стол рабочий,69900.0,80385.0,65000.0,,MATCH_EXACT,high,OL-67-1,ol-67-1,Стол рабочий,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,64-1,OL-64-1,Стол-бюро,188900.0,217235.0,163100.0,,MATCH_EXACT,high,OL-64-1,ol-64-1,Стол-бюро,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,83-1,OL-83-1,Столешница пеленальная съемная,14950.0,17192.5,10400.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,81-1,OL-81-1,Столик  детский,39900.0,45885.0,,,MATCH_EXACT,high,OL-81-1,ol-81-1,Столик детский,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,06-1,OL-06-1,Столик  туалетный с зеркалом,81950.0,94242.5,65000.0,,MATCH_EXACT,high,OL-06-1,ol-06-1,Столик туалетный с зеркалом,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,43-1,OL-43-1,Столик чайный  круглый,19950.0,22942.5,21000.0,,MATCH_EXACT,high,OL-43-1,ol-43-1,Столик чайный круглый,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,23-1,OL-23-1,Стул,27900.0,32085.0,,,MATCH_EXACT,high,OL-23-1,ol-23-1,Стул,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,82-1,OL-82-1,Стульчик  детский,14300.0,16445.0,,,MATCH_EXACT,high,OL-82-1,ol-82-1,Стульчик детский,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,07-1,OL-07-1,Сундук,39900.0,45885.0,34300.0,,MATCH_EXACT,high,OL-07-1,ol-07-1,Сундук,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,42-1,OL-42-1,Тумба для телевизора,55950.0,64342.5,46700.0,,MATCH_EXACT,high,OL-42-1,ol-42-1,Тумба для телевизора,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,08-1,OL-08-1,Тумбочка прикроватная,34950.0,40192.5,32500.0,,MATCH_SPLIT_HANDLE,high,OL-08-1,ol-08-1,Тумбочка прикроватная,Workbook reused the SKU for two products. Live catalog already split the handle.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,08-2,OL-08-2,Тумбочка прикроватная  с дверкой (руч.лев/пр),39950.0,45942.5,36400.0,,MATCH_EXACT,high,OL-08-2,ol-08-2,Тумбочка прикроватная с дверкой,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,30-1,OL-30-1,Часы,9950.0,11442.5,,,MATCH_EXACT,high,OL-30-1,ol-30-1,Часы,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,26-1,OL-26-1,Шкаф буфетный со стеклом/филенгками.,150650.0,173247.5,116900.0,,MATCH_EXACT,high,OL-26-1,ol-26-1,Шкаф буфетный со стеклом и филенками,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,26-2,OL-26-2,Шкаф-витрина,159900.0,183885.0,129700.0,,MATCH_EXACT,high,OL-26-2,ol-26-2,Шкаф-витрина,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,01-2,OL-01-2,Шкаф для одежды 1-дв. с зеркалом  (руч.лев/пр),111900.0,128685.0,68600.0,,MATCH_EXACT,high,OL-01-2,ol-01-2,Шкаф для одежды 1-дв. с зеркалом,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,02-1,OL-02-1,Шкаф для одежды 2-дв.,157900.0,181585.0,97300.0,,MATCH_EXACT,high,OL-02-1,ol-02-1,Шкаф для одежды 2-дв,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,03-1,OL-03-1,Шкаф для одежды 3-дв.,258900.0,297735.0,130400.0,,MATCH_EXACT,high,OL-03-1,ol-03-1,Шкаф для одежды 3-дв,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,61-2,OL-61-2,Шкаф кабинетный,121900.0,140185.0,97700.0,,MATCH_EXACT,high,OL-61-2,ol-61-2,Шкаф кабинетный,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,61-1,OL-61-1,Шкаф книжный со стеклом,137900.0,158585.0,97300.0,,MATCH_EXACT,high,OL-61-1,ol-61-1,Шкаф книжный со стеклом,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,00-1,OL-00-1,Шкаф угловой  (руч.лев/пр),119900.0,137885.0,91200.0,,MATCH_EXACT,high,OL-00-1,ol-00-1,Шкаф угловой,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,68-2,OL-68-2,Этажерка большая 6 полок,48900.0,56235.0,,,MATCH_EXACT,high,OL-68-2,ol-68-2,Этажерка большая 6 полок,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,68-1,OL-68-1,Этажерка малая 3 полки,24900.0,28635.0,,,MATCH_EXACT,high,OL-68-1,ol-68-1,Этажерка малая 3 полки,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ГРИНВИЧ,Greenwich,GR-09-1,GR-09-1,Зеркало навесное,28400.0,,0.0,,MATCH_SPLIT_HANDLE,high,GR-09-1,greenwich-gr-09-1-mirror,Зеркало навесное,Workbook reused the SKU for two products. Live catalog already split the handle.
ГРИНВИЧ,Greenwich,GR-05-1,GR-05-1,Комод,109500.0,,0.0,,MATCH_EXACT,high,GR-05-1,greenwich-gr-05-1,Комод Скейл,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-44-1,GR-44-1,Консоль,45900.0,,0.0,,MATCH_EXACT,high,GR-44-1,greenwich-gr-44-1,Консоль Степ,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-67-1,GR-67-1,Рабочий стол,77650.0,,36800.0,,MATCH_EXACT,high,GR-67-1,greenwich-gr-67-1,Рабочий стол Бейс,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-42-1,GR-42-1,Тумба ТВ,68800.0,,0.0,,MATCH_EXACT,high,GR-42-1,greenwich-gr-42-1,Тумба ТВ Уайд,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-08-1,GR-08-1,Прикроватная тумба с 2 ящиками,36500.0,,0.0,,MATCH_EXACT,high,GR-08-1,greenwich-gr-08-1,Прикроватная тумба с 2 ящиками Хоул,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-08-2,GR-08-2,Прикроватная тумба с 1 ящиком,31200.0,,0.0,,MATCH_EXACT,high,GR-08-2,greenwich-gr-08-2,Прикроватная тумба с 1 ящиком Стоун,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-26-1,GR-26-1,Шкаф-витрина Кристалл,146650.0,,0.0,,MATCH_EXACT,high,GR-26-1,greenwich-gr-26-1,Шкаф-витрина Кристалл,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-02-1,GR-02-1,Гардероб 2 -х дв.  с ящиками,169200.0,,0.0,,MATCH_EXACT,high,GR-02-1,greenwich-gr-02-1,Гардероб 2-дв. с ящиками Левел,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-02-2,GR-02-2,Гардероб 2-дв.,167450.0,,0.0,,MATCH_EXACT,high,GR-02-2,greenwich-gr-02-2,Гардероб 2-дв. Тотал,Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-09-1,GR-09-1,Кровать  1-сп. (90*200),71900.0,,0.0,,MATCH_SPLIT_HANDLE,high,GR-09-1,greenwich-gr-09-1-bed-90,Кровать 1-сп. (90×200),Workbook reused the SKU for two products. Live catalog already split the handle.
ГРИНВИЧ,Greenwich,GR-12-1,GR-12-1,"Кровать  1,5-сп. (120*200)",81100.0,,0.0,,MATCH_EXACT,high,GR-12-1,greenwich-gr-12-1,"Кровать 1,5-сп. (120×200)",Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-14-1,GR-14-1,"Кровать  1,5-сп. (140*200)",89700.0,,0.0,,MATCH_EXACT,high,GR-14-1,greenwich-gr-14-1,"Кровать 1,5-сп. (140×200)",Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-16-1,GR-16-1,Кровать  2-сп. (160*200),94000.0,,0.0,,MATCH_EXACT,high,GR-16-1,greenwich-gr-16-1,Кровать 2-сп. (160×200),Exact SKU on live demo
ГРИНВИЧ,Greenwich,GR-18-1,GR-18-1,Кровать  2-сп. (180*200),110400.0,,0.0,,MATCH_EXACT,high,GR-18-1,greenwich-gr-18-1,Кровать 2-сп. (180×200),Exact SKU on live demo
МОНЧЕЛСИ,Monchelsea,MNm-55-1,MNM-55-1,Банкетка малая,10340.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-57-3,MNM-57-3,Диван с выкатной кроватью,120780.0,,92700.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-09-1,MNM-09-1,Зеркало навесное,18810.0,,14500.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-09-2,MNM-09-2,Зеркало напольное,43120.0,,33100.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-09-3,MNM-09-3,Зеркало настольное,14080.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-05-3,MNM-05-3,Комод высокий,99330.0,,129200.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-05-2,MNM-05-2,Комод широкий,98670.0,,75800.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-05-4,MNM-05-4,Комод с зеркалом,162580.0,,124700.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-15-1,MNM-15-1,"Кровать 1,5-сп. (120*190)",79310.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-15-2,MNM-15-2,"Кровать 1,5-сп. (120*190) без изножья",73040.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-15-3,MNM-15-3,"Кровать 1,5-сп. (120*190) с подъем мех",104610.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-16-1,MNM-16-1,"Кровать 1,5-сп. (140*190)",93940.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-16-2,MNM-16-2,"Кровать 1,5-сп. (140*190) без изножья",87010.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-16-3,MNM-16-3,"Кровать 1,5-сп. (140*190) с подъем мех",111210.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-14-1,MNM-14-1,Кровать 1-сп. (90*190),68530.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-14-2,MNM-14-2,Кровать 1-сп. (90*190) без изножья,63910.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-14-3,MNM-14-3,Кровать 1-сп.(90*190)с подъем мех,89100.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-17-1,MNM-17-1,Кровать 2-сп. (160*200),101200.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-17-2,MNM-17-2,Кровать 2-сп. (160*200) без изножья,92510.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-17-3,MNM-17-3,Кровать 2-сп. (160*200) с подъем мех,124630.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-18-1,MNM-18-1,Кровать 2-сп. (180*200),108020.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-18-2,MNM-18-2,Кровать 2-сп. (180*200) без изножья,98560.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-18-3,MNM-18-3,Кровать 2-сп. (180*200) с подъем мех,129690.0,,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-69-3,MNM-69-3,Полка книжная,21560.0,,16600.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-69-1,MNM-69-1,Полка навесная (модуль),37620.0,,28900.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-69-2,MNM-69-2,Полка навесная с дверкой (модуль),60720.0,,46600.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
МОНЧЕЛСИ,Monchelsea,MNm-62-1,MNM-62-1,Секция угловая открытая (модуль),63470.0,,48700.0,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
